Plan,Building,Tier,Category,Production Time,Resource Type,Resource,Resource Quantity,Resource Dependency
Master,Boot Factory,4,Boots,N/A,Maintenance Resource,Milk Can,2,Milk Farm
Master,Boot Factory,4,Boots,N/A,Maintenance Resource,Vest,2,Leather Workshop
Islands,Clay Pit*,6,Brick,60,Output Resource,Clay*,1,N/A
Master,Rope Workshop,4,Rope,N/A,Build Resource,Plank,8,Sawmill
Master,Rope Workshop,4,Rope,N/A,Build Resource,Brick,7,Brick Factory
Master,Rope Workshop,4,Rope,N/A,Build Resource,Windows,4,Window Makers
Mountains,Ammo Factory**,9,Revolver,N/A,Input Resource,Coal**,1,Coal Mine**
Master,Rope Workshop,4,Rope,N/A,Maintenance Resource,Canned Food,1,Cannery
Master,Rope Workshop,4,Rope,N/A,Maintenance Resource,Wine,1,Winery
Master,Rope Workshop,4,Rope,N/A,Maintenance Resource,Boots,1,Boot Factory
Islands,Steam Clay Pit*,6,Brick,60,Output Resource,Clay*,2,N/A
Master,Sailmakers,4,Sails,N/A,Build Resource,Plank,8,Sawmill
Master,Sailmakers,4,Sails,N/A,Build Resource,Brick,7,Brick Factory
Master,Sailmakers,4,Sails,N/A,Build Resource,Windows,4,Window Makers
Mountains,Filament Factory**,11,Light Bulb,N/A,Input Resource,Coal**,1,Coal Mine**
Islands,Fried Banana Kitchen*,6,Fried Banana,N/A,Input Resource,Cocoa*,1,Cocoa Plantation*
Master,Sailmakers,4,Sails,N/A,Maintenance Resource,Canned Food,2,Cannery
Master,Sailmakers,4,Sails,N/A,Maintenance Resource,Wine,2,Winery
Master,Sailmakers,4,Sails,N/A,Maintenance Resource,Boots,2,Boot Factory
Master,Sewing Workshop,1,Clothes,45,Output Resource,Clothes,2,N/A
Master,Anchor Workshop,4,Anchor,N/A,Build Resource,Plank,16,Sawmill
Master,Anchor Workshop,4,Anchor,N/A,Build Resource,Brick,20,Brick Factory
Master,Anchor Workshop,4,Anchor,N/A,Build Resource,Steel Beams,12,Steelworks
Master,Anchor Workshop,4,Anchor,N/A,Build Resource,Windows,8,Window Makers
Islands,Port,0,Port,N/A,Input Resource,Cocoa*,1,Cocoa Plantation*
Master,Anchor Workshop,4,Anchor,N/A,Maintenance Resource,Canned Food,2,Cannery
Master,Anchor Workshop,4,Anchor,N/A,Maintenance Resource,Wine,2,Winery
Master,Anchor Workshop,4,Anchor,N/A,Maintenance Resource,Boots,2,Boot Factory
Islands,Sewing Workshop*,7,Clothes,45,Output Resource,Clothes*,2,N/A
Master,Curdling Factory,5,Cheese,N/A,Build Resource,Plank,16,Sawmill
Master,Curdling Factory,5,Cheese,N/A,Build Resource,Brick,20,Brick Factory
Master,Curdling Factory,5,Cheese,N/A,Build Resource,Steel Beams,12,Steelworks
Master,Curdling Factory,5,Cheese,N/A,Build Resource,Windows,8,Window Makers
Islands,Port,0,Port,N/A,Input Resource,Coffee*,1,Coffee Roaster*
Master,Curdling Factory,5,Cheese,N/A,Maintenance Resource,Canned Food,2,Cannery
Master,Curdling Factory,5,Cheese,N/A,Maintenance Resource,Wine,2,Winery
Master,Curdling Factory,5,Cheese,N/A,Maintenance Resource,Boots,2,Boot Factory
Master,Coal Mine,2,Steel Beams,60,Output Resource,Coal,1,N/A
Master,Cheese Factory,5,Cheese,N/A,Build Resource,Plank,16,Sawmill
Master,Cheese Factory,5,Cheese,N/A,Build Resource,Brick,20,Brick Factory
Master,Cheese Factory,5,Cheese,N/A,Build Resource,Steel Beams,12,Steelworks
Master,Cheese Factory,5,Cheese,N/A,Build Resource,Windows,8,Window Makers
Islands,Coffee Roaster*,8,Coffee,N/A,Input Resource,Coffee Beans*,1,Coffee Plantation*
Master,Cheese Factory,5,Cheese,N/A,Maintenance Resource,Canned Food,2,Cannery
Master,Cheese Factory,5,Cheese,N/A,Maintenance Resource,Wine,2,Winery
Master,Cheese Factory,5,Cheese,N/A,Maintenance Resource,Boots,2,Boot Factory
Master,Steam Coal Mine,2,Steel Beams,60,Output Resource,Coal,2,N/A
Master,Rum Distillery,5,Rum,N/A,Build Resource,Steel Beams,20,Steelworks
Master,Rum Distillery,5,Rum,N/A,Build Resource,Windows,18,Window Makers
Master,Rum Distillery,5,Rum,N/A,Build Resource,Concrete,22,Concrete Factory
Mountains,Bank**,12,Bank,N/A,Input Resource,Coin**,150,Mint**
Mountains,Gold Mission,0,Port,N/A,Input Resource,Coin**,1,Mint**
Master,Rum Distillery,5,Rum,N/A,Maintenance Resource,Canned Food,2,Cannery
Master,Rum Distillery,5,Rum,N/A,Maintenance Resource,Wine,2,Winery
Master,Rum Distillery,5,Rum,N/A,Maintenance Resource,Boots,2,Boot Factory
Master,Charcoal Kiln,2,Steel Beams,45,Output Resource,Coal,1,N/A
Master,Linseed Farm,5,Suits,N/A,Build Resource,Plank,8,Sawmill
Master,Linseed Farm,5,Suits,N/A,Build Resource,Brick,7,Brick Factory
Master,Linseed Farm,5,Suits,N/A,Build Resource,Windows,4,Window Makers
Master,Glasses Factory,6,Glasses,N/A,Input Resource,Copper,2,Brass Smeltery
Master,Linseed Farm,5,Suits,N/A,Maintenance Resource,Canned Food,1,Cannery
Master,Linseed Farm,5,Suits,N/A,Maintenance Resource,Wine,1,Winery
Master,Linseed Farm,5,Suits,N/A,Maintenance Resource,Boots,1,Boot Factory
Mountains,Coal Mine**,7,Steel Beams,60,Output Resource,Coal**,1,N/A
Master,Linen Mill,5,Suits,N/A,Build Resource,Plank,16,Sawmill
Master,Linen Mill,5,Suits,N/A,Build Resource,Brick,20,Brick Factory
Master,Linen Mill,5,Suits,N/A,Build Resource,Steel Beams,12,Steelworks
Master,Linen Mill,5,Suits,N/A,Build Resource,Windows,8,Window Makers
Master,Pipe Mill,6,Steam Engine,N/A,Input Resource,Copper,1,Brass Smeltery
Master,Linen Mill,5,Suits,N/A,Maintenance Resource,Canned Food,2,Cannery
Master,Linen Mill,5,Suits,N/A,Maintenance Resource,Wine,2,Winery
Master,Linen Mill,5,Suits,N/A,Maintenance Resource,Boots,2,Boot Factory
Master,Steel Mission,0,Port,0,Output Resource,Coal,1,N/A
Master,Tailor's Shop,5,Suits,N/A,Build Resource,Plank,16,Sawmill
Master,Tailor's Shop,5,Suits,N/A,Build Resource,Brick,20,Brick Factory
Master,Tailor's Shop,5,Suits,N/A,Build Resource,Steel Beams,12,Steelworks
Master,Tailor's Shop,5,Suits,N/A,Build Resource,Windows,8,Window Makers
Master,Sheave Manufactory,6,Steam Engine,N/A,Input Resource,Copper,1,Brass Smeltery
Mountains,Boiler Factory**,8,Steam Engine,N/A,Input Resource,Copper**,1,Brass Smeltery**
Master,Tailor's Shop,5,Suits,N/A,Maintenance Resource,Canned Food,2,Cannery
Master,Tailor's Shop,5,Suits,N/A,Maintenance Resource,Wine,2,Winery
Master,Tailor's Shop,5,Suits,N/A,Maintenance Resource,Boots,2,Boot Factory
Islands,Cocoa Plantation*,6,Fried Banana,31,Output Resource,Cocoa*,2,N/A
Master,Shipyard,5,Boat,N/A,Build Resource,Plank,8,Sawmill
Master,Shipyard,5,Boat,N/A,Build Resource,Brick,7,Brick Factory
Master,Shipyard,5,Boat,N/A,Build Resource,Windows,4,Window Makers
Mountains,Chain Factory**,9,Steam Engine,N/A,Input Resource,Copper**,1,Brass Smeltery**
Mountains,Gear Factory**,9,Steam Engine,N/A,Input Resource,Copper**,1,Brass Smeltery**
Master,Shipyard,5,Boat,N/A,Maintenance Resource,None,0,None
Master,Port,0,Port,0,Output Resource,Cocoa,1,N/A
Master,Limestone Quarry,5,Concrete,N/A,Build Resource,Plank,12,Sawmill
Master,Limestone Quarry,5,Concrete,N/A,Build Resource,Stone,11,Quarry
Master,Limestone Quarry,5,Concrete,N/A,Build Resource,Brick,6,Brick Factory
Master,Brass Smeltery,6,Glasses,N/A,Input Resource,Copper Ore,1,Copper Mine
Master,Limestone Quarry,5,Concrete,N/A,Maintenance Resource,Cheese,1,Cheese Factory
Master,Limestone Quarry,5,Concrete,N/A,Maintenance Resource,Rum,1,Rum Distillery
Master,Limestone Quarry,5,Concrete,N/A,Maintenance Resource,Suits,1,Tailor's Shop
Islands,Coffee Roaster*,8,Coffee,45,Output Resource,Coffee*,2,N/A
Master,Steam Limestone Quarry,5,Concrete,N/A,Build Resource,Plank,32,Sawmill
Master,Steam Limestone Quarry,5,Concrete,N/A,Build Resource,Stone,22,Quarry
Master,Steam Limestone Quarry,5,Concrete,N/A,Build Resource,Brick,12,Brick Factory
Master,Steam Limestone Quarry,5,Concrete,N/A,Build Resource,Steam Engine,2,Steam Engine Factory
Mountains,Brass Smeltery**,8,Glasses,N/A,Input Resource,Copper Ore**,1,Copper Mine**
Master,Steam Limestone Quarry,5,Concrete,N/A,Maintenance Resource,Steam Engine,1,Steam Engine Factory
Master,Port,0,Port,0,Output Resource,Coffee,1,N/A
Master,Cement Factory,5,Concrete,N/A,Build Resource,Plank,16,Sawmill
Master,Cement Factory,5,Concrete,N/A,Build Resource,Brick,20,Brick Factory
Master,Cement Factory,5,Concrete,N/A,Build Resource,Steel Beams,12,Steelworks
Master,Cement Factory,5,Concrete,N/A,Build Resource,Windows,8,Window Makers
Master,Boiler Factory,6,Steam Engine,N/A,Input Resource,Copper Pipes,1,Pipe Mill
Master,Kerosene Lamp Factory,7,Kerosene Lamp,N/A,Input Resource,Copper Pipes,1,Pipe Mill
Master,Cement Factory,5,Concrete,N/A,Maintenance Resource,Cheese,2,Cheese Factory
Master,Cement Factory,5,Concrete,N/A,Maintenance Resource,Rum,2,Rum Distillery
Master,Cement Factory,5,Concrete,N/A,Maintenance Resource,Suits,2,Tailor's Shop
Islands,Coffee Plantation*,8,Coffee,31,Output Resource,Coffee Beans*,2,N/A
Master,Concrete Factory,5,Concrete,N/A,Build Resource,Plank,24,Sawmill
Master,Concrete Factory,5,Concrete,N/A,Build Resource,Brick,22,Brick Factory
Master,Concrete Factory,5,Concrete,N/A,Build Resource,Steel Beams,20,Steelworks
Master,Concrete Factory,5,Concrete,N/A,Build Resource,Windows,18,Window Makers
Islands,Tortilla Kitchen*,7,Tortilla,N/A,Input Resource,Corn*,1,Corn Farm*
Islands,Humitas Kitchen*,8,Humatis,N/A,Input Resource,Corn*,1,Corn Farm*
Master,Concrete Factory,5,Concrete,N/A,Maintenance Resource,Cheese,2,Cheese Factory
Master,Concrete Factory,5,Concrete,N/A,Maintenance Resource,Rum,2,Rum Distillery
Master,Concrete Factory,5,Concrete,N/A,Maintenance Resource,Suits,2,Tailor's Shop
Mountains,Mint**,8,Coin,45,Output Resource,Coin**,2,N/A
Islands,Storage*,5,Storage,N/A,Build Resource,Stone*,4,Quarry*
Islands,Storage*,5,Storage,N/A,Build Resource,Timber*,4,Bamboo Factory*
Master,Cotton Mill,2,Overalls,N/A,Input Resource,Cotton,1,Cotton Plantation
Islands,Storage*,5,Storage,N/A,Maintenance Resource,None,0,None
Master,Concrete Factory,5,Concrete,45,Output Resource,Concrete,1,N/A
Islands,Pillar*,5,Pillar,N/A,Build Resource,Stone*,1,Quarry*
Islands,Pillar*,5,Pillar,N/A,Build Resource,Timber*,3,Bamboo Factory*
Master,Rope Workshop,4,Rope,N/A,Input Resource,Cotton,1,Cotton Plantation
Islands,Pillar*,5,Pillar,N/A,Maintenance Resource,None,0,None
Master,Limestone Mission,0,Port,0,Output Resource,Concrete,1,N/A
Islands,Fishery*,5,Fish,N/A,Build Resource,Timber*,4,Bamboo Factory*
Master,Sailmakers,4,Sails,N/A,Input Resource,Cotton,3,Cotton Plantation
Islands,Fishery*,5,Fish,N/A,Maintenance Resource,None,0,None
Master,Copper Mission,0,Port,0,Output Resource,Concrete,1,N/A
Islands,Well*,5,Water,N/A,Build Resource,Timber*,4,Bamboo Factory*
Islands,Rope Workshop*,6,Rope,N/A,Input Resource,Cotton*,1,Cotton Plantation*
Islands,Well*,5,Water,N/A,Maintenance Resource,None,0,None
Master,Brass Smeltery,6,Glasses,30,Output Resource,Copper,2,N/A
Islands,Bamboo Plantation*,5,Timber,N/A,Build Resource,Timber*,4,Bamboo Factory*
Islands,Cotton Mill*,8,Overalls,N/A,Input Resource,Cotton*,1,Cotton Plantation*
Islands,Bamboo Plantation*,5,Timber,N/A,Maintenance Resource,None,0,None
Mountains,Brass Smeltery**,8,Glasses,30,Output Resource,Copper**,3,N/A
Islands,Bamboo Factory*,5,Timber,N/A,Build Resource,Stone*,1,Quarry*
Islands,Bamboo Factory*,5,Timber,N/A,Build Resource,Timber*,4,Bamboo Factory*
Master,Port,0,Port,N/A,Input Resource,Cotton,1,Cotton Plantation
Islands,Bamboo Factory*,5,Timber,N/A,Maintenance Resource,None,0,None
Master,Copper Mission,0,Port,0,Output Resource,Copper,1,N/A
Islands,Quarry*,5,Stone,N/A,Build Resource,Timber*,4,Bamboo Factory*
Master,Cow Farm,3,Steak & Leather,N/A,Input Resource,None,0,None
Islands,Quarry*,5,Stone,N/A,Maintenance Resource,None,0,None
Mountains,Steam Mission,0,Port,0,Output Resource,Copper**,1,N/A
Islands,Banana Farm*,6,Fried Banana,N/A,Build Resource,Stone*,3,Quarry*
Islands,Banana Farm*,6,Fried Banana,N/A,Build Resource,Timber*,8,Bamboo Factory*
Master,Steakhouse,3,Steak & Leather,N/A,Input Resource,Cow,1,Cow Farm
Islands,Banana Farm*,6,Fried Banana,N/A,Maintenance Resource,Fish*,1,Fishery*
Islands,Banana Farm*,6,Fried Banana,N/A,Maintenance Resource,Water*,1,Well*
Master,Copper Mine,6,Glasses,60,Output Resource,Copper Ore,1,N/A
Islands,Cocoa Plantation*,6,Fried Banana,N/A,Build Resource,Stone*,3,Quarry*
Islands,Cocoa Plantation*,6,Fried Banana,N/A,Build Resource,Timber*,8,Bamboo Factory*
Master,Stuffing Workshop,6,Meat Pie,N/A,Input Resource,Cow,1,Cow Farm
Islands,Cocoa Plantation*,6,Fried Banana,N/A,Maintenance Resource,Fish*,1,Fishery*
Islands,Cocoa Plantation*,6,Fried Banana,N/A,Maintenance Resource,Water*,1,Well*
Master,Steam Copper Mine,6,Glasses,60,Output Resource,Copper Ore,2,N/A
Islands,Fried Banana Kitchen*,6,Fried Banana,N/A,Build Resource,Stone*,8,Quarry*
Islands,Fried Banana Kitchen*,6,Fried Banana,N/A,Build Resource,Timber*,16,Bamboo Factory*
Mountains,Cafeteria**,7,Fruit Punch,N/A,Input Resource,Cranberry**,1,Cranberry Plantation**
Mountains,Schnapps Distillery**,9,Schnapps,N/A,Input Resource,Cranberry**,1,Cranberry Plantation**
Islands,Fried Banana Kitchen*,6,Fried Banana,N/A,Maintenance Resource,Fish*,2,Fishery*
Islands,Fried Banana Kitchen*,6,Fried Banana,N/A,Maintenance Resource,Water*,2,Well*
Mountains,Copper Mine**,8,Glasses,60,Output Resource,Copper Ore**,1,N/A
Islands,Sugar Cane Plantation*,6,Moonshine,N/A,Build Resource,Stone*,3,Quarry*
Islands,Sugar Cane Plantation*,6,Moonshine,N/A,Build Resource,Timber*,8,Bamboo Factory*
Master,Cheese Factory,5,Cheese,N/A,Input Resource,Curdling,1,Curdling Factory
Islands,Sugar Cane Plantation*,6,Moonshine,N/A,Maintenance Resource,Fish*,1,Fishery*
Islands,Sugar Cane Plantation*,6,Moonshine,N/A,Maintenance Resource,Water*,1,Well*
Master,Pipe Mill,6,Steam Engine,30,Output Resource,Copper Pipes,1,N/A
Islands,Rum Distillery*,6,Rum,N/A,Build Resource,Stone*,8,Quarry*
Islands,Rum Distillery*,6,Rum,N/A,Build Resource,Timber*,16,Bamboo Factory*
Mountains,Depot**,10,Train,N/A,Input Resource,Dynamite**,1,Dynamite Factory**
Master,Fur Factory,2,Overalls,N/A,Input Resource,Felt,1,Felt Workshop
Islands,Rum Distillery*,6,Rum,N/A,Maintenance Resource,Fish*,2,Fishery*
Islands,Rum Distillery*,6,Rum,N/A,Maintenance Resource,Water*,2,Well*
Islands,Corn Farm*,7,Tortilla,31,Output Resource,Corn*,2,N/A
Islands,Alpaca Farm*,6,Poncho,N/A,Build Resource,Stone*,3,Quarry*
Islands,Alpaca Farm*,6,Poncho,N/A,Build Resource,Timber*,8,Bamboo Factory*
Islands,Fur Factory*,8,Overalls,N/A,Input Resource,Felt*,1,Felt Workshop*
Islands,Alpaca Farm*,6,Poncho,N/A,Maintenance Resource,Fish*,1,Fishery*
Islands,Alpaca Farm*,6,Poncho,N/A,Maintenance Resource,Water*,1,Well*
Master,Cotton Plantation,2,Overalls,31,Output Resource,Cotton,2,N/A
Islands,Poncho Darner*,6,Poncho,N/A,Build Resource,Stone*,8,Quarry*
Islands,Poncho Darner*,6,Poncho,N/A,Build Resource,Timber*,16,Bamboo Factory*
Mountains,Light Bulb Factory**,11,Light Bulb,N/A,Input Resource,Filaments**,1,Filament Factory**
Islands,Poncho Darner*,6,Poncho,N/A,Maintenance Resource,Fish*,2,Fishery*
Islands,Poncho Darner*,6,Poncho,N/A,Maintenance Resource,Water*,2,Well*
Islands,Cotton Plantation*,6,Overalls,31,Output Resource,Cotton*,2,N/A
Islands,Cotton Plantation*,6,Overalls,N/A,Build Resource,Stone*,8,Quarry*
Islands,Cotton Plantation*,6,Overalls,N/A,Build Resource,Timber*,16,Bamboo Factory*
Mountains,Soup Kitchen**,11,Soup,N/A,Input Resource,Fish**,1,Fishery**
Islands,Cotton Plantation*,6,Overalls,N/A,Maintenance Resource,Rum*,1,Rum Distillery*
Islands,Cotton Plantation*,6,Overalls,N/A,Maintenance Resource,Fried Banana*,1,Fried Banana Kitchen*
Islands,Cotton Plantation*,6,Overalls,N/A,Maintenance Resource,Poncho*,1,Poncho Darner*
Islands,Port,0,Port,0,Output Resource,Cotton*,1,N/A
Islands,Rope Workshop*,6,Rope,N/A,Build Resource,Stone*,4,Quarry*
Islands,Rope Workshop*,6,Rope,N/A,Build Resource,Timber*,8,Bamboo Factory*
Islands,Death Island,0,Port,N/A,Input Resource,Fish*,1,Fishery*
Islands,Rope Workshop*,6,Rope,N/A,Maintenance Resource,Rum*,1,Rum Distillery*
Islands,Rope Workshop*,6,Rope,N/A,Maintenance Resource,Fried Banana*,1,Fried Banana Kitchen*
Islands,Rope Workshop*,6,Rope,N/A,Maintenance Resource,Poncho*,1,Poncho Darner*
Master,Cow Farm,3,Steak & Leather,31,Output Resource,Cow,2,N/A
Islands,Shipyard*,6,Boat,N/A,Build Resource,Stone*,4,Quarry*
Islands,Shipyard*,6,Boat,N/A,Build Resource,Timber*,8,Bamboo Factory*
Mountains,Stable**,7,Horse,N/A,Input Resource,Foal**,2,Horse Farm**
Islands,Oil Island,0,Port,N/A,Input Resource,Fried Banana*,1,Fried Banana Kitchen*
Islands,Shipyard*,6,Boat,N/A,Maintenance Resource,Rum*,2,Rum Distillery*
Islands,Shipyard*,6,Boat,N/A,Maintenance Resource,Fried Banana*,2,Fried Banana Kitchen*
Islands,Shipyard*,6,Boat,N/A,Maintenance Resource,Poncho*,2,Poncho Darner*
Mountains,Cranberry Plantation**,7,Fruit Punch,31,Output Resource,Cranberry**,2,N/A
Islands,Clay Pit*,6,Brick,N/A,Build Resource,Stone*,8,Quarry*
Islands,Clay Pit*,6,Brick,N/A,Build Resource,Timber*,16,Bamboo Factory*
Mountains,Steam Engine Factory**,9,Steam Engine,N/A,Input Resource,Gear**,1,Gear Factory**
Islands,Clay Pit*,6,Brick,N/A,Maintenance Resource,Rum*,1,Rum Distillery*
Islands,Clay Pit*,6,Brick,N/A,Maintenance Resource,Fried Banana*,1,Fried Banana Kitchen*
Islands,Clay Pit*,6,Brick,N/A,Maintenance Resource,Poncho*,1,Poncho Darner*
Master,Curdling Factory,5,Cheese,30,Output Resource,Curdling,1,N/A
Islands,Steam Clay Pit*,6,Brick,N/A,Build Resource,Stone*,16,Quarry*
Islands,Steam Clay Pit*,6,Brick,N/A,Build Resource,Timber*,32,Bamboo Factory*
Islands,Steam Clay Pit*,6,Brick,N/A,Build Resource,Steam Engine*,2,Steam Engine Factory
Master,Window Makers,3,Windows,N/A,Input Resource,Glass,1,Glassmakers
Islands,Steam Clay Pit*,6,Brick,N/A,Maintenance Resource,Steam Engine*,1,Steam Engine Factory
Mountains,Dynamite Factory**,10,Train,45,Output Resource,Dynamite**,2,N/A
Islands,Brick Factory*,6,Brick,N/A,Build Resource,Stone*,16,Quarry*
Islands,Brick Factory*,6,Brick,N/A,Build Resource,Timber*,32,Bamboo Factory*
Master,Winery,4,Wine,N/A,Input Resource,Glass,1,Glassmakers
Islands,Brick Factory*,6,Brick,N/A,Maintenance Resource,Rum*,2,Rum Distillery*
Islands,Brick Factory*,6,Brick,N/A,Maintenance Resource,Fried Banana*,2,Fried Banana Kitchen*
Islands,Brick Factory*,6,Brick,N/A,Maintenance Resource,Poncho*,2,Poncho Darner*
Master,Felt Workshop,2,Overalls,30,Output Resource,Felt,2,N/A
Islands,Caoutchouc Farm*,6,Caoutchouc,N/A,Build Resource,Stone*,3,Quarry*
Islands,Caoutchouc Farm*,6,Caoutchouc,N/A,Build Resource,Brick*,2,Brick Factory*
Islands,Caoutchouc Farm*,6,Caoutchouc,N/A,Build Resource,Timber*,8,Bamboo Factory*
Master,Glasses Factory,6,Glasses,N/A,Input Resource,Glass,2,Glassmakers
Islands,Caoutchouc Farm*,6,Caoutchouc,N/A,Maintenance Resource,Rum*,1,Rum Distillery*
Islands,Caoutchouc Farm*,6,Caoutchouc,N/A,Maintenance Resource,Fried Banana*,1,Fried Banana Kitchen*
Islands,Caoutchouc Farm*,6,Caoutchouc,N/A,Maintenance Resource,Poncho*,1,Poncho Darner*
Islands,Felt Workshop*,8,Overalls,30,Output Resource,Felt*,2,N/A
Master,Stuffing Workshop,6,Meat Pie,N/A,Build Resource,Steel Beams,12,Steelworks
Master,Stuffing Workshop,6,Meat Pie,N/A,Build Resource,Windows,8,Window Makers
Master,Stuffing Workshop,6,Meat Pie,N/A,Build Resource,Concrete,20,Concrete Factory
Master,Kerosene Lamp Factory,7,Kerosene Lamp,N/A,Input Resource,Glass,1,Glassmakers
Master,Stuffing Workshop,6,Meat Pie,N/A,Maintenance Resource,Cheese,2,Cheese Factory
Master,Stuffing Workshop,6,Meat Pie,N/A,Maintenance Resource,Rum,2,Rum Distillery
Master,Stuffing Workshop,6,Meat Pie,N/A,Maintenance Resource,Suits,2,Tailor's Shop
Mountains,Filament Factory**,11,Light Bulb,30,Output Resource,Filament**,1,N/A
Master,Meat Pie Bakery,6,Meat Pie,N/A,Build Resource,Steel Beams,12,Steelworks
Master,Meat Pie Bakery,6,Meat Pie,N/A,Build Resource,Windows,8,Window Makers
Master,Meat Pie Bakery,6,Meat Pie,N/A,Build Resource,Concrete,20,Concrete Factory
Mountains,Watch Factory**,10,Watch,N/A,Input Resource,Glass**,1,Glassmakers**
Master,Meat Pie Bakery,6,Meat Pie,N/A,Maintenance Resource,Cheese,2,Cheese Factory
Master,Meat Pie Bakery,6,Meat Pie,N/A,Maintenance Resource,Rum,2,Rum Distillery
Master,Meat Pie Bakery,6,Meat Pie,N/A,Maintenance Resource,Suits,2,Tailor's Shop
Master,Fishery,0,Fish,30,Output Resource,Fish,1,N/A
Master,Copper Mine,6,Glasses,N/A,Build Resource,Steel Beams,12,Steelworks
Master,Copper Mine,6,Glasses,N/A,Build Resource,Windows,8,Window Makers
Master,Copper Mine,6,Glasses,N/A,Build Resource,Concrete,20,Concrete Factory
Mountains,Crockery Factory**,11,Carrot Juice,N/A,Input Resource,Glass**,1,Glassmakers**
Master,Copper Mine,6,Glasses,N/A,Maintenance Resource,Cheese,1,Cheese Factory
Master,Copper Mine,6,Glasses,N/A,Maintenance Resource,Rum,1,Rum Distillery
Master,Copper Mine,6,Glasses,N/A,Maintenance Resource,Suits,1,Tailor's Shop
Islands,Fishery*,5,Fish,30,Output Resource,Fish*,1,N/A
Master,Steam Copper Mine,6,Glasses,N/A,Build Resource,Steel Beams,24,Steelworks
Master,Steam Copper Mine,6,Glasses,N/A,Build Resource,Windows,16,Window Makers
Master,Steam Copper Mine,6,Glasses,N/A,Build Resource,Concrete,40,Concrete Factory
Master,Steam Copper Mine,6,Glasses,N/A,Build Resource,Steam Engine,2,Steam Engine Factory
Mountains,Light Bulb Factory**,11,Light Bulb,N/A,Input Resource,Glass**,2,Glassmakers**
Master,Steam Copper Mine,6,Glasses,N/A,Maintenance Resource,Steam Engine,1,Steam Engine Factory
Mountains,Fishery**,6,Fish,30,Output Resource,Fish**,1,N/A
Master,Brass Smeltery,6,Glasses,N/A,Build Resource,Steel Beams,12,Steelworks
Master,Brass Smeltery,6,Glasses,N/A,Build Resource,Windows,8,Window Makers
Master,Brass Smeltery,6,Glasses,N/A,Build Resource,Concrete,20,Concrete Factory
Mountains,Carrot Juice Kitchen**,11,Carrot Juice,N/A,Input Resource,Glass Cup**,1,Crockery Factory**
Master,Brass Smeltery,6,Glasses,N/A,Maintenance Resource,Cheese,2,Cheese Factory
Master,Brass Smeltery,6,Glasses,N/A,Maintenance Resource,Rum,2,Rum Distillery
Master,Brass Smeltery,6,Glasses,N/A,Maintenance Resource,Suits,2,Tailor's Shop
Mountains,Horse Farm**,7,Horse,30,Output Resource,Foal**,3,N/A
Master,Glasses Factory,6,Glasses,N/A,Build Resource,Steel Beams,20,Steelworks
Master,Glasses Factory,6,Glasses,N/A,Build Resource,Windows,18,Window Makers
Master,Glasses Factory,6,Glasses,N/A,Build Resource,Concrete,22,Concrete Factory
Mountains,Steakhouse**,8,Steak & Leather,N/A,Input Resource,Goat**,1,Goat Farm**
Mountains,Mint**,8,Coin,N/A,Input Resource,Gold**,1,Furnace***
Master,Glasses Factory,6,Glasses,N/A,Maintenance Resource,Cheese,3,Cheese Factory
Master,Glasses Factory,6,Glasses,N/A,Maintenance Resource,Rum,3,Rum Distillery
Master,Glasses Factory,6,Glasses,N/A,Maintenance Resource,Suits,3,Tailor's Shop
Islands,Fried Banana Kitchen*,6,Fried Banana,45,Output Resource,Fried Banana*,3,N/A
Master,Pipe Mill,6,Steam Engine,N/A,Build Resource,Steel Beams,12,Steelworks
Master,Pipe Mill,6,Steam Engine,N/A,Build Resource,Windows,8,Window Makers
Master,Pipe Mill,6,Steam Engine,N/A,Build Resource,Concrete,20,Concrete Factory
Mountains,Watch Factory**,10,Watch,N/A,Input Resource,Gold**,2,Furnace***
Master,Pipe Mill,6,Steam Engine,N/A,Maintenance Resource,Meat Pie,1,Meat Pie Bakery
Master,Pipe Mill,6,Steam Engine,N/A,Maintenance Resource,Lemonade,1,Lemonade Factory*
Master,Pipe Mill,6,Steam Engine,N/A,Maintenance Resource,Glasses,1,Glasses Factory
Mountains,Cafeteria**,7,Fruit Punch,45,Output Resource,Fruit Punch**,3,N/A
Master,Boiler Factory,6,Steam Engine,N/A,Build Resource,Steel Beams,20,Steelworks
Master,Boiler Factory,6,Steam Engine,N/A,Build Resource,Windows,18,Window Makers
Master,Boiler Factory,6,Steam Engine,N/A,Build Resource,Concrete,22,Concrete Factory
Mountains,Furnace***,8,Steel Beams,N/A,Input Resource,Gold Ore**,1,Sluicing Camp**
Master,Boiler Factory,6,Steam Engine,N/A,Maintenance Resource,Meat Pie,2,Meat Pie Bakery
Master,Boiler Factory,6,Steam Engine,N/A,Maintenance Resource,Lemonade,2,Lemonade Factory*
Master,Boiler Factory,6,Steam Engine,N/A,Maintenance Resource,Glasses,2,Glasses Factory
Mountains,Gear Factory**,9,Steam Engine,30,Output Resource,Gear**,1,N/A
Master,Sheave Manufactory,6,Steam Engine,N/A,Build Resource,Steel Beams,20,Steelworks
Master,Sheave Manufactory,6,Steam Engine,N/A,Build Resource,Windows,18,Window Makers
Master,Sheave Manufactory,6,Steam Engine,N/A,Build Resource,Concrete,22,Concrete Factory
Master,Mill,1,Bread,N/A,Input Resource,Grain,1,Farm
