buid,Plan,Building,Tier,Category,Production Time,Resource Type,Resource,Resource Quantity,Resource Dependency
2-05-R-RDI,Islands,Rum Distillery (Islands),6,Rum,N/A,Input Resource,Bamboo*,1,Bamboo Plantation*
2-05-R-RDI,Islands,Rum Distillery (Islands),6,Rum,N/A,Build Resource,Stone*,8,Quarry*
2-05-R-RDI,Islands,Rum Distillery (Islands),6,Rum,N/A,Build Resource,Timber*,16,Bamboo Factory*
2-05-R-RDI,Islands,Rum Distillery (Islands),6,Rum,N/A,Maintenance Resource,Fish*,2,Fishery*
2-05-R-RDI,Islands,Rum Distillery (Islands),6,Rum,N/A,Maintenance Resource,Water*,2,Well*
2-05-R-RDI,Islands,Rum Distillery (Islands),6,Rum,45,Output Resource,Rum*,3,N/A
2-05-R-RDI,Islands,Rum Distillery (Islands),6,Rum,N/A,Input Resource,Sugar Cane*,1,Sugar Cane Plantation*
2-07-L-SWI,Islands,Salt Works (Islands),7,Lemonade,N/A,Build Resource,Stone*,8,Quarry*
2-07-L-SWI,Islands,Salt Works (Islands),7,Lemonade,N/A,Build Resource,Brick*,7,Brick Factory*
2-07-L-SWI,Islands,Salt Works (Islands),7,Lemonade,N/A,Build Resource,Timber*,16,Bamboo Factory*
2-07-L-SWI,Islands,Salt Works (Islands),7,Lemonade,N/A,Maintenance Resource,Rum*,1,Rum Distillery*
2-07-L-SWI,Islands,Salt Works (Islands),7,Lemonade,N/A,Maintenance Resource,Fried Banana*,1,Fried Banana Kitchen*
2-07-L-SWI,Islands,Salt Works (Islands),7,Lemonade,N/A,Maintenance Resource,Poncho*,1,Poncho Darner*
2-07-L-SWI,Islands,Salt Works (Islands),7,Lemonade,30,Output Resource,Salt*,1,N/A
2-07-L-SWI,Islands,Salt Works (Islands),7,Lemonade,N/A,Input Resource,Water*,1,Well*
2-03-W-SMI,Islands,Sand Mine (Islands),7,Windows,N/A,Build Resource,Stone*,8,Quarry*
2-03-W-SMI,Islands,Sand Mine (Islands),7,Windows,N/A,Build Resource,Brick*,7,Brick Factory*
2-03-W-SMI,Islands,Sand Mine (Islands),7,Windows,N/A,Build Resource,Timber*,16,Bamboo Factory*
2-03-W-SMI,Islands,Sand Mine (Islands),7,Windows,N/A,Maintenance Resource,Clothes*,1,Sewing Workshop*
2-03-W-SMI,Islands,Sand Mine (Islands),7,Windows,N/A,Maintenance Resource,Lemonade*,1,Lemonade Factory*
2-03-W-SMI,Islands,Sand Mine (Islands),7,Windows,N/A,Maintenance Resource,Tortilla*,1,Tortilla Kitchen*
2-03-W-SMI,Islands,Sand Mine (Islands),7,Windows,30,Output Resource,Sand*,1,N/A
2-03-W-SMI,Islands,Sand Mine (Islands),7,Windows,N/A,Input Resource,Water*,1,Well*
2-01-C-SWI,Islands,Sewing Workshop (Islands),7,Clothes,45,Output Resource,Clothes*,2,N/A
2-01-C-SWI,Islands,Sewing Workshop (Islands),7,Clothes,N/A,Build Resource,Stone*,16,Quarry*
2-01-C-SWI,Islands,Sewing Workshop (Islands),7,Clothes,N/A,Build Resource,Brick*,14,Brick Factory*
2-01-C-SWI,Islands,Sewing Workshop (Islands),7,Clothes,N/A,Build Resource,Timber*,32,Bamboo Factory*
2-01-C-SWI,Islands,Sewing Workshop (Islands),7,Clothes,N/A,Maintenance Resource,Rum*,2,Rum Distillery*
2-01-C-SWI,Islands,Sewing Workshop (Islands),7,Clothes,N/A,Maintenance Resource,Fried Banana*,2,Fried Banana Kitchen*
2-01-C-SWI,Islands,Sewing Workshop (Islands),7,Clothes,N/A,Maintenance Resource,Poncho*,2,Poncho Darner*
2-01-C-SWI,Islands,Sewing Workshop (Islands),7,Clothes,N/A,Input Resource,Wool*,1,Sheep Farm*
2-01-C-SFI,Islands,Sheep Farm (Islands),7,Clothes,N/A,Build Resource,Stone*,8,Quarry*
2-01-C-SFI,Islands,Sheep Farm (Islands),7,Clothes,N/A,Build Resource,Brick*,7,Brick Factory*
2-01-C-SFI,Islands,Sheep Farm (Islands),7,Clothes,N/A,Build Resource,Timber*,16,Bamboo Factory*
2-01-C-SFI,Islands,Sheep Farm (Islands),7,Clothes,N/A,Maintenance Resource,Rum*,1,Rum Distillery*
2-01-C-SFI,Islands,Sheep Farm (Islands),7,Clothes,N/A,Maintenance Resource,Fried Banana*,1,Fried Banana Kitchen*
2-01-C-SFI,Islands,Sheep Farm (Islands),7,Clothes,N/A,Maintenance Resource,Poncho*,1,Poncho Darner*
2-01-C-SFI,Islands,Sheep Farm (Islands),7,Clothes,N/A,Input Resource,None,1,None
2-01-C-SFI,Islands,Sheep Farm (Islands),7,Clothes,31,Output Resource,Wool*,2,N/A
2-05-B-SI,Islands,Shipyard (Islands),6,Boat,30,Output Resource,Boat*,1,N/A
2-05-B-SI,Islands,Shipyard (Islands),6,Boat,N/A,Build Resource,Stone*,4,Quarry*
2-05-B-SI,Islands,Shipyard (Islands),6,Boat,N/A,Build Resource,Timber*,8,Bamboo Factory*
2-05-B-SI,Islands,Shipyard (Islands),6,Boat,N/A,Maintenance Resource,Rum*,2,Rum Distillery*
2-05-B-SI,Islands,Shipyard (Islands),6,Boat,N/A,Maintenance Resource,Fried Banana*,2,Fried Banana Kitchen*
2-05-B-SI,Islands,Shipyard (Islands),6,Boat,N/A,Maintenance Resource,Poncho*,2,Poncho Darner*
2-05-B-SI,Islands,Shipyard (Islands),6,Boat,N/A,Input Resource,Rope*,4,Rope Workshop*
2-05-B-SI,Islands,Shipyard (Islands),6,Boat,N/A,Input Resource,Timber*,12,Bamboo Factory*
2-01-B-SCPI,Islands,Steam Clay Pit (Islands),6,Brick,60,Output Resource,Clay*,2,N/A
2-01-B-SCPI,Islands,Steam Clay Pit (Islands),6,Brick,N/A,Build Resource,Stone*,16,Quarry*
2-01-B-SCPI,Islands,Steam Clay Pit (Islands),6,Brick,N/A,Build Resource,Timber*,32,Bamboo Factory*
2-01-B-SCPI,Islands,Steam Clay Pit (Islands),6,Brick,N/A,Build Resource,Steam Engine*,2,Steam Engine Factory
2-01-B-SCPI,Islands,Steam Clay Pit (Islands),6,Brick,N/A,Maintenance Resource,Steam Engine*,1,Steam Engine Factory
2-01-B-SCPI,Islands,Steam Clay Pit (Islands),6,Brick,N/A,Input Resource,None,1,None
2-05-C-SLQI,Islands,Steam Limestone Quarry (Islands),7,Concrete,N/A,Build Resource,Stone*,16,Quarry*
2-05-C-SLQI,Islands,Steam Limestone Quarry (Islands),7,Concrete,N/A,Build Resource,Brick*,14,Brick Factory*
2-05-C-SLQI,Islands,Steam Limestone Quarry (Islands),7,Concrete,N/A,Build Resource,Timber*,32,Bamboo Factory*
2-05-C-SLQI,Islands,Steam Limestone Quarry (Islands),7,Concrete,N/A,Build Resource,Steam Engine*,2,Steam Engine Factory
2-05-C-SLQI,Islands,Steam Limestone Quarry (Islands),7,Concrete,N/A,Maintenance Resource,Steam Engine*,1,Steam Engine Factory
2-05-C-SLQI,Islands,Steam Limestone Quarry (Islands),7,Concrete,60,Output Resource,Limestone*,2,N/A
2-05-C-SLQI,Islands,Steam Limestone Quarry (Islands),7,Concrete,N/A,Input Resource,None,1,None
1-02-SB-SM,Islands,Storage (Islands),5,Storage,N/A,Input Resource,Any*,1,None
1-02-SB-SM,Islands,Storage (Islands),5,Storage,0,Output Resource,Any*,1,N/A
1-02-SB-SM,Islands,Storage (Islands),5,Storage,N/A,Build Resource,Stone*,4,Quarry*
1-02-SB-SM,Islands,Storage (Islands),5,Storage,N/A,Build Resource,Timber*,4,Bamboo Factory*
1-02-SB-SM,Islands,Storage (Islands),5,Storage,N/A,Maintenance Resource,None,0,None
2-02-M-SCPI,Islands,Sugar Cane Plantation (Islands),6,Moonshine,N/A,Build Resource,Stone*,3,Quarry*
2-02-M-SCPI,Islands,Sugar Cane Plantation (Islands),6,Moonshine,N/A,Build Resource,Timber*,8,Bamboo Factory*
2-02-M-SCPI,Islands,Sugar Cane Plantation (Islands),6,Moonshine,N/A,Maintenance Resource,Fish*,1,Fishery*
2-02-M-SCPI,Islands,Sugar Cane Plantation (Islands),6,Moonshine,N/A,Maintenance Resource,Water*,1,Well*
2-02-M-SCPI,Islands,Sugar Cane Plantation (Islands),6,Moonshine,N/A,Input Resource,None,1,None
2-02-M-SCPI,Islands,Sugar Cane Plantation (Islands),6,Moonshine,31,Output Resource,Sugar Cane*,2,N/A
2-07-C-SRI,Islands,Sugar Refinery (Islands),7,Chocolate,N/A,Build Resource,Stone*,16,Quarry*
2-07-C-SRI,Islands,Sugar Refinery (Islands),7,Chocolate,N/A,Build Resource,Brick*,14,Brick Factory*
2-07-C-SRI,Islands,Sugar Refinery (Islands),7,Chocolate,N/A,Build Resource,Timber*,32,Bamboo Factory*
2-07-C-SRI,Islands,Sugar Refinery (Islands),7,Chocolate,N/A,Maintenance Resource,Rum*,2,Rum Distillery*
2-07-C-SRI,Islands,Sugar Refinery (Islands),7,Chocolate,N/A,Maintenance Resource,Fried Banana*,2,Fried Banana Kitchen*
2-07-C-SRI,Islands,Sugar Refinery (Islands),7,Chocolate,N/A,Maintenance Resource,Poncho*,2,Poncho Darner*
2-07-C-SRI,Islands,Sugar Refinery (Islands),7,Chocolate,30,Output Resource,Sugar*,1,N/A
2-07-C-SRI,Islands,Sugar Refinery (Islands),7,Chocolate,N/A,Input Resource,Sugar Cane*,1,Sugar Cane Plantation*
2-07-T-TKI,Islands,Tortilla Kitchen (Islands),7,Tortilla,N/A,Input Resource,Beef*,1,Cattle Farm*
2-07-T-TKI,Islands,Tortilla Kitchen (Islands),7,Tortilla,N/A,Input Resource,Corn*,1,Corn Farm*
2-07-T-TKI,Islands,Tortilla Kitchen (Islands),7,Tortilla,N/A,Build Resource,Stone*,16,Quarry*
2-07-T-TKI,Islands,Tortilla Kitchen (Islands),7,Tortilla,N/A,Build Resource,Brick*,14,Brick Factory*
2-07-T-TKI,Islands,Tortilla Kitchen (Islands),7,Tortilla,N/A,Build Resource,Timber*,32,Bamboo Factory*
2-07-T-TKI,Islands,Tortilla Kitchen (Islands),7,Tortilla,N/A,Maintenance Resource,Rum*,2,Rum Distillery*
2-07-T-TKI,Islands,Tortilla Kitchen (Islands),7,Tortilla,N/A,Maintenance Resource,Fried Banana*,2,Fried Banana Kitchen*
2-07-T-TKI,Islands,Tortilla Kitchen (Islands),7,Tortilla,N/A,Maintenance Resource,Poncho*,2,Poncho Darner*
2-07-T-TKI,Islands,Tortilla Kitchen (Islands),7,Tortilla,45,Output Resource,Tortilla*,2,N/A
2-00-W-WI,Islands,Well (Islands),5,Water,N/A,Build Resource,Timber*,4,Bamboo Factory*
2-00-W-WI,Islands,Well (Islands),5,Water,N/A,Maintenance Resource,None,0,None
2-00-W-WI,Islands,Well (Islands),5,Water,N/A,Input Resource,None,1,None
2-00-W-WI,Islands,Well (Islands),5,Water,15,Output Resource,Water*,1,N/A
3-09-R-AFM,Master,Anchor Workshop,4,Anchor,45,Output Resource,Anchor,1,N/A
3-09-R-AFM,Master,Anchor Workshop,4,Anchor,N/A,Build Resource,Plank,16,Sawmill
3-09-R-AFM,Master,Anchor Workshop,4,Anchor,N/A,Build Resource,Brick,20,Brick Factory
3-09-R-AFM,Master,Anchor Workshop,4,Anchor,N/A,Build Resource,Steel Beams,12,Steelworks
3-09-R-AFM,Master,Anchor Workshop,4,Anchor,N/A,Build Resource,Windows,8,Window Makers
3-09-R-AFM,Master,Anchor Workshop,4,Anchor,N/A,Maintenance Resource,Canned Food,2,Cannery
3-09-R-AFM,Master,Anchor Workshop,4,Anchor,N/A,Maintenance Resource,Wine,2,Winery
3-09-R-AFM,Master,Anchor Workshop,4,Anchor,N/A,Maintenance Resource,Boots,2,Boot Factory
3-09-R-AFM,Master,Anchor Workshop,4,Anchor,N/A,Input Resource,Steel Beams,1,Steelworks
1-04-A-AWM,Master,Bakery,1,Bread,N/A,Build Resource,Plank,8,Sawmill
1-04-A-AWM,Master,Bakery,1,Bread,N/A,Build Resource,Stone,6,Quarry
1-04-A-AWM,Master,Bakery,1,Bread,N/A,Maintenance Resource,Fish,2,Fishery
1-04-A-AWM,Master,Bakery,1,Bread,N/A,Maintenance Resource,Water,2,Well
1-04-A-AWM,Master,Bakery,1,Bread,45,Output Resource,Bread,3,N/A
1-04-A-AWM,Master,Bakery,1,Bread,N/A,Input Resource,Meal,2,Mill
1-04-A-AWM,Master,Bakery,1,Bread,N/A,Input Resource,Water,1,Well
3-10-BP-BFM,Master,Boiler Factory,6,Steam Engine,30,Output Resource,Boiler,1,N/A
3-10-BP-BFM,Master,Boiler Factory,6,Steam Engine,N/A,Input Resource,Copper Pipes,1,Pipe Mill
3-10-BP-BFM,Master,Boiler Factory,6,Steam Engine,N/A,Build Resource,Steel Beams,20,Steelworks
3-10-BP-BFM,Master,Boiler Factory,6,Steam Engine,N/A,Build Resource,Windows,18,Window Makers
3-10-BP-BFM,Master,Boiler Factory,6,Steam Engine,N/A,Build Resource,Concrete,22,Concrete Factory
3-10-BP-BFM,Master,Boiler Factory,6,Steam Engine,N/A,Maintenance Resource,Meat Pie,2,Meat Pie Bakery
3-10-BP-BFM,Master,Boiler Factory,6,Steam Engine,N/A,Maintenance Resource,Lemonade,2,Lemonade Factory*
3-10-BP-BFM,Master,Boiler Factory,6,Steam Engine,N/A,Maintenance Resource,Glasses,2,Glasses Factory
3-06-SE-BFM,Master,Boot Factory,4,Boots,45,Output Resource,Boots,1,N/A
3-06-SE-BFM,Master,Boot Factory,4,Boots,N/A,Build Resource,Plank,16,Sawmill
3-06-SE-BFM,Master,Boot Factory,4,Boots,N/A,Build Resource,Brick,20,Brick Factory
3-06-SE-BFM,Master,Boot Factory,4,Boots,N/A,Build Resource,Steel Beams,12,Steelworks
3-06-SE-BFM,Master,Boot Factory,4,Boots,N/A,Build Resource,Windows,8,Window Makers
3-06-SE-BFM,Master,Boot Factory,4,Boots,N/A,Maintenance Resource,Steak,2,Steakhouse
3-06-SE-BFM,Master,Boot Factory,4,Boots,N/A,Maintenance Resource,Milk Can,2,Milk Farm
3-06-SE-BFM,Master,Boot Factory,4,Boots,N/A,Maintenance Resource,Vest,2,Leather Workshop
3-06-SE-BFM,Master,Boot Factory,4,Boots,N/A,Input Resource,Tanned Leather,1,Tannery
1-04-B-BFM,Master,Brass Smeltery,6,Glasses,N/A,Input Resource,Copper Ore,1,Copper Mine
1-04-B-BFM,Master,Brass Smeltery,6,Glasses,30,Output Resource,Copper,2,N/A
1-04-B-BFM,Master,Brass Smeltery,6,Glasses,N/A,Build Resource,Steel Beams,12,Steelworks
1-04-B-BFM,Master,Brass Smeltery,6,Glasses,N/A,Build Resource,Windows,8,Window Makers
1-04-B-BFM,Master,Brass Smeltery,6,Glasses,N/A,Build Resource,Concrete,20,Concrete Factory
1-04-B-BFM,Master,Brass Smeltery,6,Glasses,N/A,Maintenance Resource,Cheese,2,Cheese Factory
1-04-B-BFM,Master,Brass Smeltery,6,Glasses,N/A,Maintenance Resource,Rum,2,Rum Distillery
1-04-B-BFM,Master,Brass Smeltery,6,Glasses,N/A,Maintenance Resource,Suits,2,Tailor's Shop
3-06-G-BSM,Master,Brewery,1,Beer,N/A,Build Resource,Plank,4,Sawmill
3-06-G-BSM,Master,Brewery,1,Beer,N/A,Build Resource,Stone,3,Quarry
3-06-G-BSM,Master,Brewery,1,Beer,N/A,Maintenance Resource,Fish,2,Fishery
3-06-G-BSM,Master,Brewery,1,Beer,N/A,Maintenance Resource,Water,2,Well
3-06-G-BSM,Master,Brewery,1,Beer,45,Output Resource,Beer,2,N/A
3-06-G-BSM,Master,Brewery,1,Beer,N/A,Input Resource,Grain,1,Farm
3-06-G-BSM,Master,Brewery,1,Beer,N/A,Input Resource,Water,1,Well
1-01-B-BM,Master,Brick Factory,1,Brick,N/A,Build Resource,Plank,8,Sawmill
1-01-B-BM,Master,Brick Factory,1,Brick,N/A,Build Resource,Stone,6,Quarry
1-01-B-BM,Master,Brick Factory,1,Brick,N/A,Maintenance Resource,Bread,2,Bakery
1-01-B-BM,Master,Brick Factory,1,Brick,N/A,Maintenance Resource,Beer,2,Brewery
1-01-B-BM,Master,Brick Factory,1,Brick,N/A,Maintenance Resource,Clothes,2,Sewing Workshop
1-01-B-BM,Master,Brick Factory,1,Brick,45,Output Resource,Brick,2,N/A
1-01-B-BM,Master,Brick Factory,1,Brick,N/A,Input Resource,Clay,2,Clay Pit
1-01-B-BFM,Master,Brick Mission,0,Port,N/A,Input Resource,Bread,1,Bakery
1-01-B-BFM,Master,Brick Mission,0,Port,0,Output Resource,Brick,1,N/A
1-01-B-BFM,Master,Brick Mission,0,Port,N/A,Input Resource,Steam Engine,1,Steam Engine Factory
1-01-B-BFM,Master,Brick Mission,0,Port,N/A,Input Resource,Stone,1,Quarry
1-00-P-BMM,Master,Butchery,2,Sausages,N/A,Build Resource,Plank,12,Sawmill
1-00-P-BMM,Master,Butchery,2,Sausages,N/A,Build Resource,Brick,6,Brick Factory
1-00-P-BMM,Master,Butchery,2,Sausages,N/A,Maintenance Resource,Bread,2,Bakery
1-00-P-BMM,Master,Butchery,2,Sausages,N/A,Maintenance Resource,Beer,2,Brewery
1-00-P-BMM,Master,Butchery,2,Sausages,N/A,Maintenance Resource,Clothes,2,Sewing Workshop
1-00-P-BMM,Master,Butchery,2,Sausages,N/A,Input Resource,Pig,1,Pig Farm
1-00-P-BMM,Master,Butchery,2,Sausages,45,Output Resource,Sausages,3,N/A
3-07-FP-CM,Master,Can Factory,3,Milk Can,30,Output Resource,Can,2,N/A
3-07-FP-CM,Master,Can Factory,3,Milk Can,N/A,Build Resource,Plank,8,Sawmill
3-07-FP-CM,Master,Can Factory,3,Milk Can,N/A,Build Resource,Stone,4,Quarry
3-07-FP-CM,Master,Can Factory,3,Milk Can,N/A,Build Resource,Brick,4,Brick Factory
3-07-FP-CM,Master,Can Factory,3,Milk Can,N/A,Build Resource,Steel Beams,2,Steelworks
3-07-FP-CM,Master,Can Factory,3,Milk Can,N/A,Maintenance Resource,Sausages,2,Butchery
3-07-FP-CM,Master,Can Factory,3,Milk Can,N/A,Maintenance Resource,Moonshine,2,Moonshine Factory
3-07-FP-CM,Master,Can Factory,3,Milk Can,N/A,Maintenance Resource,Overalls,2,Fur Factory
3-07-FP-CM,Master,Can Factory,3,Milk Can,N/A,Input Resource,Coal,1,Coal Mine
3-07-FP-CM,Master,Can Factory,3,Milk Can,N/A,Input Resource,Steel,1,Furnace
3-03-MC-CFM,Master,Cannery,4,Canned Food,N/A,Input Resource,Beef,1,Cattle Farm
3-03-MC-CFM,Master,Cannery,4,Canned Food,N/A,Input Resource,Can,1,Can Factory
3-03-MC-CFM,Master,Cannery,4,Canned Food,45,Output Resource,Canned Food,2,N/A
3-03-MC-CFM,Master,Cannery,4,Canned Food,N/A,Build Resource,Plank,16,Sawmill
3-03-MC-CFM,Master,Cannery,4,Canned Food,N/A,Build Resource,Brick,20,Brick Factory
3-03-MC-CFM,Master,Cannery,4,Canned Food,N/A,Build Resource,Steel Beams,12,Steelworks
3-03-MC-CFM,Master,Cannery,4,Canned Food,N/A,Build Resource,Windows,8,Window Makers
3-03-MC-CFM,Master,Cannery,4,Canned Food,N/A,Maintenance Resource,Steak,2,Steakhouse
3-03-MC-CFM,Master,Cannery,4,Canned Food,N/A,Maintenance Resource,Milk Can,2,Milk Farm
3-03-MC-CFM,Master,Cannery,4,Canned Food,N/A,Maintenance Resource,Vest,2,Leather Workshop
3-03-MC-CFM,Master,Cannery,4,Canned Food,N/A,Input Resource,Red Pepper,1,Red Pepper Farm
3-11-CJ-CJKM,Master,Cattle Farm,4,Canned Food,31,Output Resource,Beef,2,N/A
3-11-CJ-CJKM,Master,Cattle Farm,4,Canned Food,N/A,Build Resource,Plank,8,Sawmill
3-11-CJ-CJKM,Master,Cattle Farm,4,Canned Food,N/A,Build Resource,Brick,7,Brick Factory
3-11-CJ-CJKM,Master,Cattle Farm,4,Canned Food,N/A,Build Resource,Windows,4,Window Makers
3-11-CJ-CJKM,Master,Cattle Farm,4,Canned Food,N/A,Maintenance Resource,Steak,1,Steakhouse
3-11-CJ-CJKM,Master,Cattle Farm,4,Canned Food,N/A,Maintenance Resource,Milk Can,1,Milk Farm
3-11-CJ-CJKM,Master,Cattle Farm,4,Canned Food,N/A,Maintenance Resource,Vest,1,Leather Workshop
3-11-CJ-CJKM,Master,Cattle Farm,4,Canned Food,N/A,Input Resource,None,1,None
1-04-CF-CFM,Master,Cement Factory,5,Concrete,30,Output Resource,Cement,1,N/A
1-04-CF-CFM,Master,Cement Factory,5,Concrete,N/A,Build Resource,Plank,16,Sawmill
1-04-CF-CFM,Master,Cement Factory,5,Concrete,N/A,Build Resource,Brick,20,Brick Factory
1-04-CF-CFM,Master,Cement Factory,5,Concrete,N/A,Build Resource,Steel Beams,12,Steelworks
1-04-CF-CFM,Master,Cement Factory,5,Concrete,N/A,Build Resource,Windows,8,Window Makers
1-04-CF-CFM,Master,Cement Factory,5,Concrete,N/A,Maintenance Resource,Cheese,2,Cheese Factory
1-04-CF-CFM,Master,Cement Factory,5,Concrete,N/A,Maintenance Resource,Rum,2,Rum Distillery
1-04-CF-CFM,Master,Cement Factory,5,Concrete,N/A,Maintenance Resource,Suits,2,Tailor's Shop
1-04-CF-CFM,Master,Cement Factory,5,Concrete,N/A,Input Resource,Limestone,1,Limestone Quarry
1-04-CF-CFM,Master,Cement Factory,5,Concrete,N/A,Input Resource,Water,1,Well
3-09-SE-CFM,Master,Charcoal Kiln,2,Steel Beams,N/A,Build Resource,Plank,2,Sawmill
3-09-SE-CFM,Master,Charcoal Kiln,2,Steel Beams,N/A,Build Resource,Stone,1,Quarry
3-09-SE-CFM,Master,Charcoal Kiln,2,Steel Beams,N/A,Maintenance Resource,None,0,None
3-09-SE-CFM,Master,Charcoal Kiln,2,Steel Beams,45,Output Resource,Coal,1,N/A
3-09-SE-CFM,Master,Charcoal Kiln,2,Steel Beams,N/A,Input Resource,Tree,2,Lumber Camp
1-02-SB-CKM,Master,Cheese Factory,5,Cheese,45,Output Resource,Cheese,2,N/A
1-02-SB-CKM,Master,Cheese Factory,5,Cheese,N/A,Build Resource,Plank,16,Sawmill
1-02-SB-CKM,Master,Cheese Factory,5,Cheese,N/A,Build Resource,Brick,20,Brick Factory
1-02-SB-CKM,Master,Cheese Factory,5,Cheese,N/A,Build Resource,Steel Beams,12,Steelworks
1-02-SB-CKM,Master,Cheese Factory,5,Cheese,N/A,Build Resource,Windows,8,Window Makers
1-02-SB-CKM,Master,Cheese Factory,5,Cheese,N/A,Maintenance Resource,Canned Food,2,Cannery
1-02-SB-CKM,Master,Cheese Factory,5,Cheese,N/A,Maintenance Resource,Wine,2,Winery
1-02-SB-CKM,Master,Cheese Factory,5,Cheese,N/A,Maintenance Resource,Boots,2,Boot Factory
1-02-SB-CKM,Master,Cheese Factory,5,Cheese,N/A,Input Resource,Curdling,1,Curdling Factory
1-05-C-CFM,Master,Chocolate Factory,7,Chocolate,45,Output Resource,Chocolate,2,N/A
1-05-C-CFM,Master,Chocolate Factory,7,Chocolate,N/A,Build Resource,Steel Beams,20,Steelworks
1-05-C-CFM,Master,Chocolate Factory,7,Chocolate,N/A,Build Resource,Windows,18,Window Makers
1-05-C-CFM,Master,Chocolate Factory,7,Chocolate,N/A,Build Resource,Concrete,22,Concrete Factory
1-05-C-CFM,Master,Chocolate Factory,7,Chocolate,N/A,Maintenance Resource,Meat Pie,2,Meat Pie Bakery
1-05-C-CFM,Master,Chocolate Factory,7,Chocolate,N/A,Maintenance Resource,Lemonade,2,Lemonade Factory*
1-05-C-CFM,Master,Chocolate Factory,7,Chocolate,N/A,Maintenance Resource,Glasses,2,Glasses Factory
1-05-C-CFM,Master,Chocolate Factory,7,Chocolate,N/A,Input Resource,Sheave,1,Sheave Manufactory
1-05-C-CFM,Master,Chocolate Factory,7,Chocolate,N/A,Input Resource,Sugar,1,Sugar Refinery
2-07-L-CFI,Master,Clay Pit,1,Brick,N/A,Build Resource,Plank,4,Sawmill
2-07-L-CFI,Master,Clay Pit,1,Brick,N/A,Build Resource,Stone,3,Quarry
2-07-L-CFI,Master,Clay Pit,1,Brick,N/A,Maintenance Resource,Bread,1,Bakery
2-07-L-CFI,Master,Clay Pit,1,Brick,N/A,Maintenance Resource,Beer,1,Brewery
2-07-L-CFI,Master,Clay Pit,1,Brick,N/A,Maintenance Resource,Clothes,1,Sewing Workshop
2-07-L-CFI,Master,Clay Pit,1,Brick,60,Output Resource,Clay,1,N/A
2-07-L-CFI,Master,Clay Pit,1,Brick,N/A,Input Resource,None,1,None
1-01-B-CPM,Master,Coal Mine,2,Steel Beams,N/A,Build Resource,Plank,6,Sawmill
1-01-B-CPM,Master,Coal Mine,2,Steel Beams,N/A,Build Resource,Stone,5,Quarry
1-01-B-CPM,Master,Coal Mine,2,Steel Beams,N/A,Maintenance Resource,Sausages,1,Butchery
1-01-B-CPM,Master,Coal Mine,2,Steel Beams,N/A,Maintenance Resource,Moonshine,1,Moonshine Factory
1-01-B-CPM,Master,Coal Mine,2,Steel Beams,N/A,Maintenance Resource,Overalls,1,Fur Factory
1-01-B-CPM,Master,Coal Mine,2,Steel Beams,60,Output Resource,Coal,1,N/A
1-01-B-CPM,Master,Coal Mine,2,Steel Beams,N/A,Input Resource,None,1,None
2-08-C-CRI,Master,Concrete Factory,5,Concrete,N/A,Input Resource,Cement,1,Cement Factory
2-08-C-CRI,Master,Concrete Factory,5,Concrete,N/A,Build Resource,Plank,24,Sawmill
2-08-C-CRI,Master,Concrete Factory,5,Concrete,N/A,Build Resource,Brick,22,Brick Factory
2-08-C-CRI,Master,Concrete Factory,5,Concrete,N/A,Build Resource,Steel Beams,20,Steelworks
2-08-C-CRI,Master,Concrete Factory,5,Concrete,N/A,Build Resource,Windows,18,Window Makers
2-08-C-CRI,Master,Concrete Factory,5,Concrete,N/A,Maintenance Resource,Cheese,2,Cheese Factory
2-08-C-CRI,Master,Concrete Factory,5,Concrete,N/A,Maintenance Resource,Rum,2,Rum Distillery
2-08-C-CRI,Master,Concrete Factory,5,Concrete,N/A,Maintenance Resource,Suits,2,Tailor's Shop
2-08-C-CRI,Master,Concrete Factory,5,Concrete,45,Output Resource,Concrete,1,N/A
2-08-C-CRI,Master,Concrete Factory,5,Concrete,N/A,Input Resource,Steel,1,Furnace
1-05-C-CFM,Master,Copper Mine,6,Glasses,60,Output Resource,Copper Ore,1,N/A
1-05-C-CFM,Master,Copper Mine,6,Glasses,N/A,Build Resource,Steel Beams,12,Steelworks
1-05-C-CFM,Master,Copper Mine,6,Glasses,N/A,Build Resource,Windows,8,Window Makers
1-05-C-CFM,Master,Copper Mine,6,Glasses,N/A,Build Resource,Concrete,20,Concrete Factory
1-05-C-CFM,Master,Copper Mine,6,Glasses,N/A,Maintenance Resource,Cheese,1,Cheese Factory
1-05-C-CFM,Master,Copper Mine,6,Glasses,N/A,Maintenance Resource,Rum,1,Rum Distillery
1-05-C-CFM,Master,Copper Mine,6,Glasses,N/A,Maintenance Resource,Suits,1,Tailor's Shop
1-05-C-CFM,Master,Copper Mine,6,Glasses,N/A,Input Resource,None,1,None
3-06-G-CMM,Master,Copper Mission,0,Port,N/A,Input Resource,Brick,1,Brick Factory
3-06-G-CMM,Master,Copper Mission,0,Port,N/A,Input Resource,Caoutchouc,1,Caoutchouc Farm*
3-06-G-CMM,Master,Copper Mission,0,Port,0,Output Resource,Concrete,1,N/A
3-06-G-CMM,Master,Copper Mission,0,Port,0,Output Resource,Copper,1,N/A
3-06-G-CMM,Master,Copper Mission,0,Port,0,Output Resource,Glasses,1,N/A
3-06-G-CMM,Master,Copper Mission,0,Port,N/A,Input Resource,Lemonade,1,Lemonade Factory*
